Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
May,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
1,74,62,49,60,53,46,100,-,59,12,-,0,30.14,-,29.65,-,0,-
2,75,69,62,64,52,34,93,-,28,20,-,0,29.78,-,29.57,-,0,-
3,65,58,51,38,34,29,47,-,30,18,-,0,30.2,-,29.78,-,0,-
4,64,56,47,42,34,28,71,-,27,13,-,0,30.29,-,30.12,-,0,-
5,59,55,51,59,53,43,100,-,71,16,-,0,30.1,-,29.52,-,3.02,-
6,67,60,52,59,55,45,100,-,67,15,-,0,29.54,-,29.37,-,0.18,-
7,56,52,47,46,41,37,77,-,59,14,-,0,29.8,-,29.5,-,0.01,-
8,57,51,44,37,31,26,76,-,32,15,-,0,29.92,-,29.8,-,0,-
9,63,55,47,42,34,25,71,-,25,12,-,0,30,-,29.92,-,0,-
10,63,56,49,43,38,36,71,-,28,7,-,0,30.08,-,29.99,-,0,-
11,62,57,51,42,37,34,71,-,39,7,-,0,30.07,-,29.98,-,0,-
12,65,57,48,45,43,40,80,-,46,12,-,0,30.1,-,30.02,-,0,-
13,53,49,45,50,47,44,100,-,71,18,-,0,30,-,29.76,-,1.61,-
14,67,57,46,50,44,40,93,-,44,15,-,0,29.75,-,29.57,-,0.02,-
15,68,61,53,44,42,40,66,-,37,18,-,5,29.93,-,29.63,-,0,-
16,79,68,56,46,45,43,67,-,29,12,-,0,30.02,-,29.93,-,0,-
17,90,78,65,63,56,46,60,-,34,12,-,4,30.02,-,29.89,-,0,-
18,92,84,75,65,63,58,69,-,32,14,-,4,29.96,-,29.82,-,0,-
19,91,79,66,66,62,50,74,-,36,16,-,0,30.05,-,29.83,-,0,-
20,65,60,55,51,44,40,61,-,43,16,-,0,30.34,-,30.06,-,0.01,-
21,69,61,52,45,39,32,71,-,28,12,-,0,30.38,-,30.25,-,0,-
22,61,57,53,60,57,44,100,-,62,10,-,0,30.23,-,29.95,-,0.59,-
23,69,63,56,59,52,46,93,-,45,10,-,0,29.98,-,29.78,-,0,-
24,69,63,56,55,51,47,87,-,48,14,-,0,29.83,-,29.73,-,0.04,-
25,59,58,56,57,55,51,100,-,75,16,-,4,29.81,-,29.48,-,0.58,-
26,73,65,56,59,55,51,93,-,49,16,-,0,29.8,-,29.46,-,0.1,-
27,71,65,59,57,55,53,84,-,57,8,-,0,29.93,-,29.81,-,0,-
28,71,65,58,59,55,49,100,-,56,12,-,0,29.97,-,29.89,-,0,-
29,61,59,56,55,54,51,100,-,72,12,-,0,30.11,-,29.87,-,0.13,-
30,60,58,55,57,54,51,100,-,80,12,-,0,30.2,-,30.1,-,0.06,-
31,75,67,58,62,59,57,100,-,60,12,-,0,30.12,-,29.91,-,0.03,-
